Incident Number,Reported Date,Reported Time,Location,Category,Subcategory,Incident Summary
2020-003024,12/28/2020,8:05:00 AM,CENTRAL SQUARE,"Disturbance, Causing",Loitering,Security responded to a report of an unknown male loitering in the west bear pit. The male was identified and directed to leave the building.
2020-003025,12/28/2020,10:54:00 PM,SCHULICH SCHOOL OF BUSINESS,"Disturbance, Causing",Loitering,A Security patrol discovered evidence of loitering in the building. Discarded food and beverage containers and personal property were observed in a stairwell. The Work Control Centre was notified.
2020-003026,12/28/2020,11:04:00 PM,MCLAUGHLIN COLLEGE,Damage,University Property,A Security patrol discovered a damaged basement level emergency exit door. The cause of the damage was not determined. The Work Control Centre was notified.
2020-003027,12/29/2020,12:09:00 AM,KEELE CAMPUS RESIDENCE,"Disturbance, Causing",Dispute,"Security responded to a report of an ongoing dispute between two residents over excessive noise. The individuals involved were identified, cautioned and directed to refrain from any further contact."
2020-003028,12/29/2020,2:45:00 PM,320 ASSINIBOINE ROAD RESIDENCE,Mental Health Act,Non-Community Member,"Security and Toronto Police responded to a report of an unknown male loitering in the lobby. The male, identified as a previously trespassed non-community member appeared to be in distress. He was taken into custody by police and transported to hospital for further medical care."
2020-003029,12/29/2020,4:27:00 PM,YORK LANES RETAIL,"Disturbance, Causing",Loitering,Security responded to a report of an unknown male loitering inside a washroom. The individual was cautioned and directed to leave the building.
2020-003030,12/29/2020,4:58:00 PM,CURTIS LECTURE HALLS,Disorderly Behaviour,Unauthorized Activities,Security responded to a report of individuals skateboarding on the second floor. Three unknown males were cautioned and directed to leave the building.
2020-003033,12/29/2020,8:23:00 PM,340 ASSINIBOINE ROAD RESIDENCE,Smoking Complaint,Subject Not Identified,Security responded to a smoking complaint. An odour of cannabis was evident in the eighth floor hallway. The source of the odour was not determined.
2020-003031,12/29/2020,9:07:00 PM,PASSY RESIDENCE,Noise Complaint,Source Located,Security responded to a noise complaint. The source of the noise was determined to be emanating from an apartment. The leaseholder was identified and requested to lower the noise level.
2020-003032,12/30/2020,2:29:00 AM,PASSY RESIDENCE,"Mischief, Under $5000",University Property,A community member reported a heating unit located in a stairwell had been contaminated with feces. Housing Services and the Work Control Centre were notified.
2020-003036,12/30/2020,10:33:00 AM,PASSY RESIDENCE,"Mischief, Under $5000",University Property,A community member reported a smashed pane of glass which covered the notice board located in the lobby. The Work Control Centre was notified.
2020-003034,12/30/2020,2:46:00 PM,KEEL CAMPUS RESIDENCE,Emergency Medical,Sudden Illness,Security and EMS responded to a report of a community member experiencing symptoms of anxiety. EMS transported the individual to hospital for further medical care.
2020-003035,12/30/2020,3:29:00 PM,320 ASSINIBOINE ROAD RESIDENCE,Trespass to Property Act,Non-Community Member,Security responded to a report of an unknown male loitering in the residence. The male was identified as a previously trespassed non-community member. The individual was directed to leave campus and he complied without incident.
2020-003038,12/30/2020,7:20:00 PM,340 ASSINIBOINE ROAD RESIDENCE,Noise Complaint,Source Located,Security responded to a noise complaint. The source of the noise was located. The leaseholder was identified and requested to lower the noise level.
2020-003039,12/30/2020,10:39:00 PM,CALUMET COLLEGE,"Mischief, Under $5000",University Property,A Security patrol discovered an insecure perimeter door. The lock had been tampered with and was secured.
