Incident Number,Reported Date,Reported Time,Location,Category,Subcategory,Incident Summary
2018-003187,12/31/2018,4:04:00 AM,PASSY RESIDENCE,Noise Complaint,Source Located,Security responded to several complaints of loud music emanating from within an apartment. The occupant was identified and requested to lower the music volume.
2018-003188,12/31/2018,5:21:00 PM,CURTIS LECTURE HALLS,Damage,University Property,A Security patrol discovered a damaged pane of glass in the north west perimeter door. The Work Control Centre was notified.
2018-003189,12/31/2018,9:06:00 PM,STEDMAN LECTURE HALLS,Suspicious Persons,Subject Identified,A Security patrol encountered three individuals loitering inside a lecture hall. A previously trespassed non-community member was identified and directed to leave campus. Two others fled on foot and were not identified.
2018-003190,12/31/2018,9:19:00 PM,PARKING GARAGE - ARBORETUM LANE (PS2),Damage,University Property,A Security patrol reported damage to the exhaust on a patrol vehicle.
2019-000001,1/1/2019,12:12:00 AM,POND ROAD RESIDENCE,Disorderly Behaviour,Unauthorized Activities,"Security responded to assist Residence Life staff with a non-community member in the residence without authorization. The non- community member was identified, and the resident cautioned."
2019-000002,1/1/2019,10:35:00 PM,CURTIS LECTURE HALLS,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member loitering inside a lecture hall. The male was identified and escorted off campus.
2019-000003,1/1/2019,11:22:00 PM,SCHULICH SCHOOL OF BUSINESS,"Disturbance, Causing",Loitering,Security responded to a report of that an unknown female was loitering inside a basement level classroom. The female refused to provide identification and left the building.
2019-000004,1/2/2019,1:24:00 AM,GLENDON COLLEGE - YORK HALL,Disorderly Behaviour,Belligerent Person,A Security patrol encountered an unknown male who acted in a belligerent manner. A description of the male was obtained.
2019-000006,1/2/2019,10:54:00 AM,VARI HALL,"Mischief, Under $5000",University Property,Security responded to a report of damage to a third floor classroom door. The Work Control Centre was notified.
2019-000007,1/2/2019,11:32:00 AM,CENTRAL SQUARE,Trespass to Property Act,Non-Community Member,A Security patrol encountered a known trespasser in the building. The individual was identified and escorted out of the building.
2019-000008,1/2/2019,4:26:00 PM,ACCOLADE EAST,Disorderly Behaviour,Unauthorized Activities,"Security responded to a report that a community member refused to leave a lab at closing time. The community member was identified, cautioned and escorted out of the lab."
2019-000009,1/2/2019,4:42:00 PM,CENTRAL SQUARE,"Mischief, Under $5000",University Property,Security and Toronto Police responded to a report of offensive graffiti written inside a first floor washroom stall. The Work Control Centre was notified.
2019-000010,1/2/2019,6:06:00 PM,TAIT MCKENZIE BLDG,"Theft, Under $5000",Private Property,"A non-community member reported the theft of a wallet from a locker. The wallet was returned however, a quantity of cash was not recovered."
2019-000011,1/3/2019,12:40:00 AM,PASSY RESIDENCE,Noise Complaint,Source Located,Security responded to a noise complaint. Loud music was heard emanating from within an apartment. The leaseholder was uncooperative and lowered the volume following several requests.
2019-000012,1/3/2019,3:46:00 AM,PASSY RESIDENCE,Noise Complaint,Source Located,Security responded to a noise complaint. Loud music was heard emanating from within an apartment. The leaseholder was identified and requested to lower the volume.
2019-000013,1/3/2019,11:02:00 AM,CENTRAL SQUARE,Emergency Medical,Slip\Trip\Fall,Security and EMS responded to a report that a community member fell and sustained a wrist injury. EMS transported the individual to hospital for further medical care.
2019-000020,1/4/2019,11:24:00 AM,YORK HALL - MAIN WING,"Theft, Under $5000",University Property,Complainant reported the theft of holiday decorations from the dining hall.
